setpoint, avg temp, st dev temp, st err temp, avg voltage, st dev voltage, st err voltage
2.397874,2.931735,0.058739,0.001468,1.6172770.001710,0.000043,
2.601558,2.932085,0.058628,0.001466,1.6172460.001723,0.000043,
2.799501,2.932623,0.059662,0.001492,1.6172720.001714,0.000043,
3.000143,2.998318,0.064029,0.001601,1.6155500.001873,0.000047,
3.202089,3.200917,0.076315,0.001908,1.6102190.002265,0.000057,
3.400831,3.398396,0.085851,0.002146,1.6048540.002642,0.000066,
3.600970,3.599377,0.094884,0.002372,1.5993360.002987,0.000075,
3.799383,3.798358,0.102789,0.002570,1.5936230.003380,0.000085,
3.999855,3.997216,0.108556,0.002714,1.5877410.003694,0.000092,
4.212591,4.208496,0.116309,0.002908,1.5812670.004099,0.000102,
4.687817,4.681097,0.128710,0.003218,1.5661200.004826,0.000121,
5.100022,5.095350,0.141651,0.003541,1.5522610.005400,0.000135,
5.620245,5.613729,0.155027,0.003876,1.5343010.006074,0.000152,
6.354748,6.344880,0.169482,0.004237,1.5082090.006842,0.000171,
7.195028,7.183707,0.179227,0.004481,1.4781370.007258,0.000181,
8.254846,8.243211,0.187470,0.004687,1.4422030.007057,0.000176,
9.314936,9.307562,0.204256,0.005106,1.4095250.007163,0.000179,
10.365485,10.356811,0.186529,0.004663,1.3804730.005855,0.000146,
11.404580,11.398894,0.163128,0.004078,1.3544470.004730,0.000118,
12.421216,12.418612,0.136336,0.003408,1.3309780.003643,0.000091,
13.422162,13.418037,0.114502,0.002863,1.3098980.002824,0.000071,
14.406296,14.402923,0.093903,0.002348,1.2906200.002151,0.000054,
15.376143,15.375167,0.074746,0.001869,1.2728820.001633,0.000041,
16.331054,16.328451,0.059018,0.001475,1.2563770.001213,0.000030,
17.280309,17.279656,0.047130,0.001178,1.2406200.000910,0.000023,
18.223758,18.221761,0.036808,0.000920,1.2255330.000704,0.000018,
19.166694,19.168059,0.029012,0.000725,1.2106340.000547,0.000014,
20.118159,20.119151,0.022372,0.000559,1.1956170.000433,0.000011,
21.175324,21.174612,0.017185,0.000430,1.1780570.000369,0.000009,
22.736462,22.734130,0.011380,0.000285,1.1461700.000302,0.000008,
24.355905,24.357469,0.007703,0.000193,1.1230340.000055,0.000001,
25.988230,25.989238,0.006111,0.000153,1.1157970.000018,0.000000,
27.598583,27.599854,0.005292,0.000132,1.1114540.000050,0.000001,
29.209357,29.209228,0.005066,0.000127,1.1079090.000029,0.000001,
31.020591,31.013388,0.005157,0.000129,1.1044000.000000,0.000000,
33.125361,33.125685,0.004956,0.000124,1.1005190.000040,0.000001,
36.127590,36.131442,0.005762,0.000144,1.0954000.000000,0.000000,
39.131288,39.131827,0.006262,0.000157,1.0904030.000017,0.000000,
42.132751,42.131408,0.006723,0.000168,1.0856000.000000,0.000000,
45.130705,45.132985,0.008353,0.000209,1.0808020.000014,0.000000,
48.131924,48.129505,0.011367,0.000284,1.0760060.000024,0.000001,
50.131892,50.130717,0.010352,0.000259,1.0728010.000011,0.000000,
55.128172,55.126049,0.013489,0.000337,1.0647050.000021,0.000001,
60.122867,60.125226,0.011230,0.000281,1.0565060.000024,0.000001,
65.107896,65.106406,0.015822,0.000396,1.0482960.000019,0.000000,
70.102812,70.101991,0.014246,0.000356,1.0398980.000013,0.000000,
75.089268,75.086205,0.014554,0.000364,1.0313100.000030,0.000001,
80.096510,80.100321,0.015209,0.000380,1.0226010.000007,0.000000,
85.080809,85.080434,0.017270,0.000432,1.0138030.000017,0.000000,
90.075186,90.077939,0.018680,0.000467,1.0049000.000000,0.000000,
95.078179,95.076905,0.021974,0.000549,0.9958000.000000,0.000000,
100.070100,100.071644,0.021748,0.000544,0.9866000.000000,0.000000,
110.070519,110.076546,0.007886,0.000197,0.9678000.000004,0.000000,
120.062571,120.066764,0.013162,0.000329,0.9486000.000000,0.000000,
130.055026,130.050175,0.010740,0.000268,0.9290010.000009,0.000000,
140.059620,140.043405,0.013587,0.000340,0.9091000.000002,0.000000,
150.057802,150.051130,0.018542,0.000464,0.8888000.000004,0.000000,
160.052059,160.055589,0.017406,0.000435,0.8681960.000019,0.000000,
170.049435,170.047401,0.016033,0.000401,0.8473050.000022,0.000001,
180.046420,180.047904,0.024767,0.000619,0.8262480.000050,0.000001,
190.044871,190.047638,0.022440,0.000561,0.8049000.000003,0.000000,
200.043927,200.037196,0.026156,0.000654,0.7833880.000033,0.000001,
210.038879,210.031369,0.033845,0.000846,0.7616700.000046,0.000001,
220.027113,220.028952,0.031920,0.000798,0.7397110.000031,0.000001,
230.029708,230.032771,0.039233,0.000981,0.7176470.000050,0.000001,
240.030611,240.024530,0.038670,0.000967,0.6954540.000050,0.000001,
250.029051,250.015173,0.039354,0.000984,0.6730880.000033,0.000001,
260.016754,260.017872,0.042750,0.001069,0.6505270.000046,0.000001,
270.023710,270.026611,0.051858,0.001296,0.6278470.000051,0.000001,
280.031434,280.050914,0.050351,0.001259,0.6049590.000049,0.000001,
290.032593,290.040005,0.059320,0.001483,0.5820910.000029,0.000001,
300.046216,300.054493,0.058909,0.001473,0.5590030.000018,0.000000
310.057222,310.037044,0.067842,0.001696,0.5358460.000077,0.000002
315.062448,315.040814,0.067696,0.001692,0.5242120.000057,0.000001
320.056660,320.058966,0.061906,0.001548,0.5125080.000046,0.000001

